Index	X	Sigmoid	Recon	Hex
4902	4.787889	0.991739	0.991738	0x00FDE29
4903	4.788865	0.991747	0.991747	0x00FDE32
4904	4.789842	0.991755	0.991755	0x00FDE3A
4905	4.790819	0.991763	0.991763	0x00FDE43
4906	4.791796	0.991771	0.991771	0x00FDE4B
4907	4.792772	0.991779	0.991778	0x00FDE53
4908	4.793749	0.991787	0.991787	0x00FDE5C
4909	4.794726	0.991795	0.991795	0x00FDE64
4910	4.795702	0.991803	0.991802	0x00FDE6C
4911	4.796679	0.991810	0.991811	0x00FDE75
4912	4.797656	0.991818	0.991818	0x00FDE7D
4913	4.798633	0.991826	0.991826	0x00FDE85
4914	4.799609	0.991834	0.991835	0x00FDE8E
4915	4.800586	0.991842	0.991842	0x00FDE96
4916	4.801563	0.991850	0.991850	0x00FDE9E
4917	4.802539	0.991858	0.991858	0x00FDEA6
4918	4.803516	0.991866	0.991866	0x00FDEAF
4919	4.804493	0.991874	0.991874	0x00FDEB7
4920	4.805470	0.991882	0.991881	0x00FDEBF
4921	4.806446	0.991889	0.991889	0x00FDEC7
4922	4.807423	0.991897	0.991898	0x00FDED0
4923	4.808400	0.991905	0.991905	0x00FDED8
4924	4.809377	0.991913	0.991913	0x00FDEE0
4925	4.810353	0.991921	0.991920	0x00FDEE8
4926	4.811330	0.991929	0.991929	0x00FDEF1
4927	4.812307	0.991936	0.991937	0x00FDEF9
4928	4.813283	0.991944	0.991944	0x00FDF01
4929	4.814260	0.991952	0.991952	0x00FDF09
4930	4.815237	0.991960	0.991960	0x00FDF11
4931	4.816214	0.991968	0.991967	0x00FDF19
4932	4.817190	0.991975	0.991976	0x00FDF22
4933	4.818167	0.991983	0.991983	0x00FDF2A
4934	4.819144	0.991991	0.991991	0x00FDF32
4935	4.820120	0.991999	0.991999	0x00FDF3A
4936	4.821097	0.992006	0.992006	0x00FDF42
4937	4.822074	0.992014	0.992014	0x00FDF4A
4938	4.823051	0.992022	0.992022	0x00FDF52
4939	4.824027	0.992030	0.992030	0x00FDF5B
4940	4.825004	0.992037	0.992038	0x00FDF63
4941	4.825981	0.992045	0.992045	0x00FDF6B
4942	4.826958	0.992053	0.992053	0x00FDF73
4943	4.827934	0.992061	0.992061	0x00FDF7B
4944	4.828911	0.992068	0.992068	0x00FDF83
4945	4.829888	0.992076	0.992076	0x00FDF8B
4946	4.830864	0.992084	0.992084	0x00FDF93
4947	4.831841	0.992091	0.992091	0x00FDF9B
4948	4.832818	0.992099	0.992099	0x00FDFA3
4949	4.833795	0.992107	0.992106	0x00FDFAB
4950	4.834771	0.992114	0.992114	0x00FDFB3
4951	4.835748	0.992122	0.992122	0x00FDFBB
4952	4.836725	0.992129	0.992129	0x00FDFC3
4953	4.837701	0.992137	0.992137	0x00FDFCB
4954	4.838678	0.992145	0.992145	0x00FDFD3
4955	4.839655	0.992152	0.992152	0x00FDFDB
4956	4.840632	0.992160	0.992160	0x00FDFE3
4957	4.841608	0.992167	0.992167	0x00FDFEB
4958	4.842585	0.992175	0.992175	0x00FDFF3
4959	4.843562	0.992183	0.992183	0x00FDFFB
4960	4.844538	0.992190	0.992190	0x00FE003
4961	4.845515	0.992198	0.992198	0x00FE00B
4962	4.846492	0.992205	0.992206	0x00FE013
4963	4.847469	0.992213	0.992213	0x00FE01B
4964	4.848445	0.992220	0.992221	0x00FE023
4965	4.849422	0.992228	0.992228	0x00FE02A
4966	4.850399	0.992236	0.992235	0x00FE032
4967	4.851376	0.992243	0.992243	0x00FE03A
4968	4.852352	0.992251	0.992250	0x00FE042
4969	4.853329	0.992258	0.992258	0x00FE04A
4970	4.854306	0.992266	0.992266	0x00FE052
4971	4.855282	0.992273	0.992273	0x00FE05A
4972	4.856259	0.992281	0.992281	0x00FE062
4973	4.857236	0.992288	0.992288	0x00FE069
4974	4.858213	0.992295	0.992295	0x00FE071
4975	4.859189	0.992303	0.992303	0x00FE079
4976	4.860166	0.992310	0.992311	0x00FE081
4977	4.861143	0.992318	0.992318	0x00FE089
4978	4.862119	0.992325	0.992325	0x00FE090
4979	4.863096	0.992333	0.992332	0x00FE098
4980	4.864073	0.992340	0.992340	0x00FE0A0
